,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Lat,Hotel Lng,Hotel Name
142,kutum,-5.1989,-35.4608,86.0,66,40,5.66,BR,1619446189,-5.226640199999999,-35.415863,Hotel Vila Gale Touros
143,praia da vitoria,4.1213,43.8894,87.98,40,98,2.79,SO,1619446190,4.1196589,43.8878135,Abdimalik Hotel and Training Center
144,belushya guba,-28.7667,114.6,64.4,68,97,3.09,AU,1619446191,-28.7738192,114.6082717,Ocean Centre Hotel
145,bredasdorp,-26.5333,153.1,64.0,91,1,0.45,AU,1619446191,-26.5419286,153.0965,The Point Coolum Beach - Ocean View Accommodation
146,batagay,37.1041,-113.5841,61.0,29,40,3.09,US,1619446170,37.1249441,-113.5275804,Comfort Inn Saint George North
147,bossembele,50.6789,156.125,29.79,94,100,8.72,RU,1619446192,50.6610621,156.1144998,Kak Doma
148,karaul,-20.1883,32.6236,80.98,24,11,2.12,ZW,1619446193,-20.1866136,32.6248728,Chipinge Breeze Lodge
149,tori,27.8333,113.15,59.0,100,90,2.0,CN,1619446194,27.8373833,113.1494256,Hilton Zhuzhou
150,jinchengjiang,28.7519,54.5444,78.96,26,89,5.49,IR,1619446194,28.7605701,54.5619665,Naghshe shapoor Hotel
151,amalapuram,-34.5838,-60.9433,62.37,65,0,1.99,AR,1619446195,-34.6147789,-60.9525801,Arena Ranch Hotel & Apart
152,rennes,28.6868,69.9534,101.61,7,5,3.58,PK,1619446195,,,
153,eganville,-24.8667,113.6333,69.8,83,0,2.28,AU,1619446195,-24.8923413,113.6550343,Hospitality Carnarvon
154,samusu,10.5669,72.642,85.37,68,0,2.39,IN,1619446195,10.570591,72.6381459,Bismillah Hotel And Lodging
155,hasaki,-41.0667,145.9167,51.01,81,8,2.24,AU,1619446196,-41.0502796,145.9066988,Beachfront Voyager Motor Inn
156,biloela,13.5928,-89.8275,77.0,83,0,1.16,SV,1619446150,13.5887132,-89.8342137,Villavela Hotel Boutique
157,oxford,30.4397,48.1664,102.2,19,0,5.14,IR,1619446197,30.4374145,48.20573599999999,Green Hotel
158,touros,70.6333,147.9167,23.11,94,100,2.77,RU,1619446198,,,
159,xuddur,-5.2246,145.7966,76.75,86,97,0.92,PG,1619446198,-5.2082485,145.8103168,Madang Resort
160,geraldton,41.7355,-111.8344,37.4,93,90,1.54,US,1619446199,41.7207173,-111.833886,SpringHill Suites by Marriott Logan
161,coolum beach,-42.8794,147.3294,51.8,71,6,2.57,AU,1619446199,-42.8808631,147.3335418,Hotel Grand Chancellor Hobart
162,saint george,-38.6533,178.0042,50.0,74,0,1.34,NZ,1619446199,-38.6676912,178.0280613,Emerald Hotel Gisborne
163,severo-kurilsk,-38.7,-73.1667,51.8,64,90,1.03,CL,1619446199,-38.7136253,-73.1670929,Hostal de carahue
164,chipinge,42.8,93.45,56.08,12,26,3.39,CN,1619446200,42.8457177,93.5018673,Tianma Hotel
165,mys shmidta,4.9247,6.2642,95.22,43,56,1.94,NG,1619446200,4.9368207,6.2783479,Meglams Hotel
166,zhuzhou,-3.4667,102.5333,68.7,96,30,1.36,ID,1619446201,-3.4716474,102.5301671,Golden Rich Hotel
167,darab,37.7167,-25.4333,62.6,72,75,5.66,PT,1619446201,37.7147319,-25.469431,Pestana Bahia Praia
168,grand river south east,5.8808,-10.0467,91.4,62,75,2.06,LR,1619446206,5.8770487,-10.0520798,Hotel Buchanan Liberia
169,junin,-20.5167,57.5167,78.8,78,75,7.2,MU,1619446206,-20.5129094,57.4951332,SkylineInn Hotel
170,rojhan,55.7435,-97.8558,26.6,100,90,1.54,CA,1619446208,55.74570070000001,-97.8516398,Best Western Thompson Hotel & Suites
171,carnarvon,-45.4167,167.7167,37.4,88,75,0.82,NZ,1619446208,-45.4162124,167.7133478,Distinction Luxmore Hotel Te Anau
172,kavaratti,-20.3297,-40.2925,84.2,70,0,3.6,BR,1619446115,-20.310606,-40.2826805,Hotel Senac Ilha do Boi
173,burnie,42.4308,130.6434,43.74,88,100,3.14,RU,1619446209,,,
174,acajutla,43.2039,140.7703,32.0,68,6,4.0,JP,1619446210,43.187197,140.793581,HOTEL LOOP (余市バル ループ レストラン&ホテル)
175,khorramshahr,4.1363,96.1285,79.5,83,100,2.21,ID,1619446210,4.156042999999999,96.13850079999999,Bin Daod Hotel and Restaurant
176,tsihombe,-12.1688,26.3894,70.0,81,74,1.11,ZM,1619446211,-12.1841878,26.432106,Royal Solwezi Hotel
177,lolua,47.0667,51.8667,62.6,63,40,7.0,KZ,1619446212,47.1043998,51.9112721,Hotel Atyrau
178,chokurdakh,46.6166,10.7002,55.99,67,75,2.57,IT,1619446157,46.6165613,10.7005175,Gasthof Zur Sonne
179,madang,-37.8811,147.981,48.0,92,0,3.65,AU,1619446214,-37.8826838,147.9746235,The Esplanade Resort & Spa
180,logan,58.1089,49.9161,37.24,91,100,7.7,RU,1619446214,,,
181,hobart,50.4001,-105.5344,33.8,100,90,1.03,CA,1619446215,50.3941481,-105.534442,Grant Hall Hotel
182,gisborne,-2.5744,150.7967,81.84,74,97,1.37,PG,1619446215,-2.5824077,150.7809143,Nusa Island Retreat
183,carahue,5.3833,-52.95,79.02,88,100,4.51,GF,1619446215,5.3623934,-52.9624634,L'oiseau de Paradis
184,hami,22.2855,114.1577,75.0,83,100,0.45,HK,1619446215,22.284671,114.1923123,TUVE
185,yenagoa,-14.4086,-56.4461,71.38,87,100,2.71,BR,1619446216,-14.4096088,-56.44747539999999,Hotel Villa Dos parecis
186,curup,-15.1961,12.1522,86.0,58,20,5.14,AO,1619446217,-15.1978317,12.1575544,Hotel Chik Chik Namibe
187,vila franca do campo,4.9333,-52.3333,78.8,94,75,2.57,GF,1619446218,4.9347711,-52.3045524,Mercure Cayenne Royal Amazonia
188,buchanan,37.9281,102.6414,47.79,37,9,1.93,CN,1619446218,37.934008,102.6398,Wuwei Ruiyi International Hotel
189,souillac,-30.1811,-50.2056,66.74,66,61,6.07,BR,1619446031,-30.1778807,-50.2035006,Hotel Castelo
